Entity 1,Relation,Entity 2
Dr. Zeus,described in,ｿｽgDr. Zeus: the Bot in the Hatｿｽh
malicious email campaigns,employ,“From” addresses
EvilExtractor,download,zzyy.zip
variants,embed,zacharryblogs[.]com/xmlquery
PingPull,communicate with,yrhsywu2009.zapto[.]org
Tick,use,ycghw.asp
XEReverseShell.exe,connect to,xework[.]com
C2 IP addresses,associated with,xework[.]com
XEReverseShell.exe,receives from,xework[.]com
certutil[.]exe,write,xesvrs[.]exe
Multi-OS_ReverseShell.exe,decode from,xesmartshell.tmp
C2 IP addresses,associated with,xegroups[.]com
XEReverseShell.exe,connect to,xegroups[.]com
JpgRun loader,similar to,xPack backdoor
Antlion,use,xPack backdoor
Antlion,deploy,xPack backdoor
Antlion,deploy,xPack
Pihar,kernel mode rootkit compatible with,x86 and x64 Windows
Daserf,contact,www[.]dreamsig[.]com
http://www.madafak[DOT]in/landing,send POST request to,www.madafak[DOT]in
Tick,use,www.lunwe[.]com
Tick,use,www.aucsellers[.]com
file.zip,contain,wuacltservice.exe
attacker,use,wsmprovhost
mediatv.mov,execute,wscript.exe
videotv.m3u,execute,wscript.exe
Bumblebee,run,wscript.exe
Merdoor,abuse,wsc_proxy.exe
Merdoor,abuse,wsc.dll
Tinba,uses,ws2_32.dll
attacker,execute,wpm.cpl
Exbyte,check,wpespy.dll
GhostMiner,is,worm
Bluwimps,is,worm
MacStealer,connect to,worldofcreatures[.]io
C&C server,domain,work[.]letmaker[.]top
C2 servers,Domain,work.letmaker[.]top
WinRAR,masquerade,wmiprvse.exe
Impacket tools,tool,wmiexec.py
attacker,use,wmiexec.py
WMIC,use,wmic.exe
Tinba,injects into,winver.exe
WinSCP application,leads to,winsccp[.]com
X_Trader,drop,winscard.dll
X_TRADER_r7.17.90p608.exe,drop,winscard.dll
npf.sys,install,winpcap
packet.dll,install,winpcap
Crash Handler,file name,winnet.exe
Dnscmd utility,execute,winnet.exe
Data Exfiltration Tool,file,windowsupserv.exe
hostupbroker.exe,followed by,windowsupserv.exe
windowsupdate.com,nonessential,windowsupdate.microsoft.com
Blaster,direct to,windowsupdate.com
Micropsia,use,windowsservicemanageav.exe
Reverse SOCKs Tunneler,file,windowsservicemanageav.exe
Micropsia,ran,windowsps.exe
Micropsia,deployed by,windowsps.exe
Micropsia,execute,windowspackages.exe
Micropsia,includes,windowspackages.exe
Micropsia,run,windowspackages.exe
Micropsia,deployed by,windowsnetworkmanager.exe
Micropsia,ran,windowsnetworkmanager.exe
malware,add,windata0.exe
whoami,version,whoami-1.1.1
Buer Loader,incorporate,whoami
certutil,check connectivity to,whatismyip[.]com
Win32/Spy.Ranbyus,C&C domain,wh1tesun.info
actors,use,wevtutil.exe
QAKBOT,inject,wermgr.exe
Chinese state-sponsored cyber actors,use,webshells
APT actors,maintain access,webshells
wscript.exe,execute,webmedia.m3u
Tinba,uses technique,webinjects
Dark Pink,exfiltrating data,webhook[.]site
Tinba,has webinject file,web.dat
aspnet_regiis.exe,used to decrypt,web.config
T1546.008,use,web shells
loader DLLs,responsible for,web shell HTTP session
IIS log,record,web pages and apps
Tick,mount,watering hole attack
Task32Main,installing,watchdog
Bumblebee,run,wab.exe
PowerShell command,follows,w3wp.exe
iisfreb.dll,loaded in,w3wp.exe
Frebniis,access,w3wp.exe
vf_host.exe,masqueraded names,vxhost.exe
vf_host.exe,masqueraded names,vx.exe
Vssadmin,use,vssadmin.exe
cmd.exe,delete,vssadmin.exe
BlackByte,use,vssadmin.exe
Black Basta,use,vssadmin tool
Hive ransomware,use,vssadmin
Exbyte,check,vmcheck.dll
variants,embed,visualstudiofactory[.]com/groupcore
ransomware,use,virtual machines
Ransomware,hide in,virtual machine
Mimikatz,execute on,victim networks
vf_host.exe,masqueraded names,vfhost.exe
CyberArk Viewfinity,file,vf_host.exe
w3wp.exe,inject thread into,vbc.exe
F-Secure,detects,variant of Flashback
vf_host.exe,masqueraded names,v.exe
monsboys.biz,has domain,uwyhbgwiechgi.com
Malekal_morte,suggests,using AdwCleaner
Apple,advises,users to disable Java
Tinba,uses,user32.dll
net.exe,check,user account
test[.]ja7[.]site,C&C,us[.]ja7[.]site
Buer Loader,use,ureq 2.0.2
WhiskerSpy,C&C domain,updategoogle[.]servehttp[.]com
attackers,deploy,updated version of POSHC2 stager
C&C server,domain,update.microsoft.com
b820e8a2057112d0ed73bd7995201dbed79a79e13c79d4bdad81a22f12387e07,load,upbeat_anxiety.jpg
Nuclear Pack,uses,unique file names with exploitation vectors
Union Crypto,domain,unioncrypto[.]vip
ukrtatnafta[.]org,Similar to,ukrtatnafta[.]com
spearphishing and intrusion campaign,related to,u.exe
Surfcop,cannot find,twexx32.dll
Giddome backdoor,named,tuser.dat.tm.descendant.exe
ntuser.dat.tmcontainer.vcd,parent process,tuser.dat.tm.descendant.exe
malicious PowerShell code,serve,tunneling tool
PotPlayer Mini,launched,tunneling tool
Plink tool,set up,tunnel
certutil,check connectivity to,trustsecpro[.]com
s[.]livelyhellp[.]chat,seen in,trojanized LiveHelp100 application
Tinba,aims to,trick users for sensitive data
GuLoader,abused,transfer[.]sh
Malicious driver,use,transfer[.]sh
nlackfriday[.]com,redirects to,totalav[.]com
Unknown attacker,use,toolset
Harvester,deploy,toolset
campaign,overlap in,tools
windowservicecemter[.]com,host,tools
Exmatter,refine,tool
PowerShell code,named,tmp72AF.tmp
mainpw.dll,split into,three parts for three fileless malware
Cobalt Strike loader,associated with,threat campaign
IcedID,deployed by,threat actors
7-Zip,used by,threat actor
Constant Contact,leveraged by,threat actor
T1572,used by,threat actor
Kimsuky,objective extends to,theft of subscription credentials from NK News
PowerShell script,execute,text.ps1
api[.]tw1988[.]link,C&C,test[.]ja7[.]site
Crash Handler,named,test.exe
Mimikatz,name,test.exe
enterprise application,tool,tenant user profiles
res.dat,rename,temp.temp
Micropsia,execute,teamviewrremoteservice.exe
threat actor,use,taskmgr.exe
runner.exe,use,taskkill.exe
attacker,install,tapi.exe
C2 server,impersonate,taboola[.]com
PsExec,execute,t.bat
Micropsia,deployed by,systempropertiesinternationaltime.exe
Micropsia,ran,systempropertiesinternationaltime.exe
KONNI,use,systeminfo.exe
Brute Ratel,check-in,symantecuptimehost[.]com
Exbyte,check,sxin.dll
ransomware,named as,svhost.exe
3proxy tiny proxy server,file,svhost.exe
RAT,inject,svchost[.]exe
FlawedGrace,establish,svchost[.]exe
explorer.exe,launch,svchost.exe
BlackByte,inject,svchost.exe
current.exe,inject,svchost.exe
Crash Handler,named,svchost.exe
Preft backdoor,file,svchost.exe
shellcode,inject,svchost.exe
Tinba,injects into,svchost.exe
attacker,execute,svchost.exe
imjputyc.exe,launch,svchost.exe
Webworm,inject,svchost.exe
Daxin,inject,svchost.exe
Merdoor,inject,svchost.exe
backdoor,injected into,svchost.exe
Petya/NotPetya,cause,supply chain attack
Kaseya,belong to,supply chain attack
SolarWinds,belong to,supply chain attack
malware,log,success.txt
malicious email campaigns,employ,subject lines
C&C server,domain,su-94[.]letmaker[.]top
C2 servers,Domain,su-94.letmaker[.]top
Tinba,has feature,steals login data
Smartcards,manipulated to,steal money
C&C server,trace to,static-files[.]livelyhellp[.]chat:888
9002 RAT,used by,state-sponsored actors
runner.exe,delete,starter.bat
runner.exe,execute,starter.bat
runner.exe,drop,starter.bat
shellcode,purpose,start a reverse shell
DCRat,contact,star-cz[.]ddns[.]net
Merdoor,abuse,ssr32.exe
Spyder Loader,use,sqlite3.dll
spearphishing and intrusion campaign,related to,spoolsvd.exe
Chinese state-sponsored cyber actors,conduct,spearphishing campaigns
Nodaria,use,spear-phishing emails
SideCopy,carry out,spear-phishing email attacks
Special discount program.zip,arrived in,spear-phishing email
Bumblebee,use,spear-phishing email
Phishing emails,spread in,spam campaigns
variants,embed,sourceslabs[.]com/status
XEReverseShell.exe,drop,sortcombat.exe
attackers,downloaded,sok.wia
Kimsuky,linked to,social engineering campaign
Exbyte,check,snxhk.dll
Tinba,has feature,sniffs on network traffic
Quasar RAT,installed to,smss.exe
Impacket tools,tool,smbexec.py
SmartCard API,used for,smartcard manipulation
RDPdoor,sends,smartcard information to C&C
Win32/Spy.Ranbyus,sends,smartcard information to C&C
RDPdoor v4.2.x,collects,smartcard information
194[.]99[.]46[.]38,corresponds to,slot0.warongsoto.com
spearphishing and intrusion campaign,related to,slm.exe
blackfriday[.]com,similar to,slickdeals[.]net
http://tempuri.org/Endpoint/CheckConnect,domain,sinmac[.]duckdns[.]org:2667
variants,use,shtasks.exe
Scheduled Tasks,file,shtasks.exe
Backdoor.Pterodo,use,shtasks.exe
Vaxa.exe,decrypt,shellcode
Cobalt Strike,used to load,shellcode
LBTServ.dll,load,shellcode
Redis server,adds cron jobs,shell scripts
Exbyte,check,sf2.dll
TgToxic,behind,sextortion and cryptocurrency scams
uawmiver.exe,used to execute,set1.bat
uawmiver.exe,used to execute,set.bat
vf_host.exe,masqueraded names,securityhealthservice.exe
attackers,attempt to disable,security software
Hive,tamper,security products
Conti,tamper,security products
Avoslocker,tamper,security products
Thor.dll,modify,security permissions
vf_host.exe,masqueraded names,secu.exe
SharpSecDump,use,secretsdump.py
Impacket tool,name,secretsdump.py
agent,delivers,second stage payload
loader,load,sdc-integrity.dat
APT actors,upload,sd.php
Operation Dream Job,begins,scskapplink.dll
loader,load,scs-integrity.dat
attacker,deleted,scripts folder
Pterodo backdoor,download,scripts and tools
script element,load,script from tmpmeta[.]com
tmpmeta[.]com,load,script
Trojan.Danfuan,drops,sckspy.exe
Chinese state-sponsored cyber actors,use,schtask
attacker,use,scheduled task
schtasks,create,scheduled task
scanning shell,try to download,scanning tool
crypto miner,get,scanning shell
customer support application,compromise,scammers
Facebook accounts,advertise,scam messages
BlackByte,use,sc.exe
runner.exe,use,sc.exe
Exbyte,check,sbiedll.dll
basdinopowadoar.com,has domain,sbasdinopowadoar.com
Merdoor,abuse,safestore32.dll
Merdoor,abuse,safestore.pak
trojanized LiveHelp100 application,instructed to download and execute,s[.]livelyhellp[.]chat
VirtualBox,delivered via,s3c.msi
Thieflock,use,s3browser
VirtualBox,create,runner.exe
wermgr.exe,invoke,rundll32.exe
comsvcs.dll,dump LSASS memory,rundll32.exe
join_06[1].htm,copied to,rundll32.exe
Spyder Loader,use,rundll32.exe
spear-phishing email,contain,rundll32.exe
Chinese state-sponsored cyber actors,inject into,rundll32.exe
PowerShell,used to launch,rundll32.exe
Bumblebee,use,rundll32.exe
Cobalt Strike,load DLLs,rundll32.exe
PowerShell script,use,rtk.lnk
Tick,use,rlsolar[.]jp
xesvrs[.]exe,invoke,reverse shell utilities
ACNSHELL malware,create,reverse shell
Invoke-TheHash,file,rev.ps1
Malekal_morte,suggests,restoration in command prompt in safe mode
rundll32.exe,load,resources.dll
Space Pirates,mention,resmon.resmoncfg
DoRVA,read and delete,res.ini
temp.temp,append,res.ini
Apple,issues,removal utility for Flashback
185.225.19.55:8080/111,download,remote files
attackers,enable,remote desktop connections
FabulaTech USB for Remote Desktop,used for,remote control of smartcards
threat actors,exploit,remote code execution flaw
Adobe Photoshop,exploited by,remote attacker
attack,provide,remote access to attacker
Atharvan,belong to,remote access Trojan (RAT
Lilith,belong to,remote access Trojan (RAT
Spectre,belong to,remote access Trojan (RAT
PlugX,belong to,remote access Trojan (RAT
ShadowPad,belong to,remote access Trojan (RAT
Custom persistence utility,use,regsrv32
PowerShell script,download,registry.ps1
secretsdump.exe,dump credentials from,registry
AvosLocker,use,reg.exe
Hive,use,reg.exe
BeagleBoyz,use,reconnaissance tools
Kimsuky,deliver,reconnaissance malware
CVE-2017-0199,exploit,receipt.doc
Chinese state-sponsored cyber actors,use,rdpclip.exe
svchost.exe,delete,rdac.exe
executable backdoor,starts with,rcmdhelper.exe
WinRAR binary,download,rar1.exe
Coreid,change tactics,ransomware-as-a-service operation
LockBit,launch,ransomware-as-a-service (RaaS
Play,not operate as,ransomware-as-a-service
BlackByte,belong to,ransomware operations
Conti,belong to,ransomware operations
Sodinokibi,belong to,ransomware operations
botnets,means of access,ransomware groups
Custom Tools,is used by,ransomware gangs
ransomware-as-a-service,involve,ransomware developers
Bumblebee loader,used in,ransomware campaign
ransomware-as-a-service,involve,ransomware authors
affiliates,pay,ransomware authors
Bumblebee,link to,ransomware attacks
Balloonfly,carry out,ransomware attacks
Coreid,conduct,ransomware attacks
BlackByte,used in,ransomware attacks
Group-IB,estimate,ransomware attacks
AdFind,reconnaissance tool,ransomware attackers
AdFind,abused by,ransomware attackers
ConnectWise,exploit,ransomware attackers
Exbyte,developed by,ransomware attackers
AdFind,deployed in,ransomware attack
adf.bat,used in,ransomware attack
Blacktail,carry out,ransomware attack
Bumblebee,links to,ransomware
Bumblebee,suggested,ransomware
ransomware-as-a-service,used for,ransomware
AnyDesk,feature in,ransomware
Splashtop,feature in,ransomware
Sirattacker,belong to,ransomware
Atera,feature in,ransomware
EvilExtractor,belong to,ransomware
Rclone,feature in,ransomware
